Vendor Name,Invoice Number,Purchase Order (PO) ID,Payment Status,Discount Due Date,Asset ID,Asset Description,Acquisition Date,Depreciation Method,Useful Life (Years),Salvage Value
Metro Print & Copy,INV-809570,PO-81482,Paid,2020-04-11,FF-0001,Chair,2020-04-01,MACRS,5,5950.09
Ironclad Security,INV-688508,PO-36062,Scheduled,2019-05-21,IT-0002,Server,2019-05-11,Units of Production,5,18656.77
Cornerstone IT,INV-263032,PO-38221,Overdue,2024-02-13,IT-0003,Server,2024-01-14,Straight-Line,20,11243.97
Summit Logistics,INV-865179,PO-70217,Scheduled,2023-04-16,FF-0004,Filing Cabinet,2023-04-06,Straight-Line,15,11947.82
Bridgeport Packaging,INV-479201,PO-85674,Pending,2023-04-10,BL-0005,Warehouse Expansion,2023-03-31,Straight-Line,20,29733.66
TechVault Solutions,INV-391476,PO-69429,Overdue,2026-06-16,FF-0006,Desk,2026-06-01,Double Declining Balance,5,14830.99
Sterling Furniture,INV-864544,PO-42087,Pending,2023-01-10,FF-0007,Desk,2022-12-26,Units of Production,15,12633.62
Nexus Software,INV-430776,PO-62581,Overdue,2022-01-25,FF-0008,Desk,2022-01-10,Straight-Line,5,11836.21
Meridian Consulting,INV-581141,PO-28726,Overdue,2025-06-11,VH-0009,Company Car,2025-05-12,Double Declining Balance,10,43503.75
Cornerstone IT,INV-245051,PO-76784,Partial,2025-05-18,BL-0010,Warehouse Expansion,2025-04-18,Straight-Line,15,10972.3
Phoenix Data Centers,INV-503457,PO-60019,Scheduled,2019-07-22,VH-0011,Van,2019-07-12,Units of Production,20,15503.36
Redwood Analytics,INV-772097,PO-54587,Paid,2021-11-05,IT-0012,Switch,2021-10-26,Sum-of-Years-Digits,15,17765.11
Ironclad Security,INV-898975,PO-33416,Scheduled,2020-11-23,IT-0013,Switch,2020-10-09,Straight-Line,20,13615.74
Crestview Landscaping,INV-269396,PO-80697,Scheduled,2026-02-04,BL-0014,Parking Lot,2026-01-05,Straight-Line,5,4303.42
Catalyst Training Group,INV-945964,PO-50306,Pending,2022-10-04,IT-0015,Laptop,2022-08-20,Straight-Line,7,45661.91
Cornerstone IT,INV-897549,PO-79822,Pending,2025-05-22,IT-0016,Switch,2025-05-12,Double Declining Balance,10,12946.78
Silverline Insurance,INV-865388,PO-36365,Overdue,2024-05-15,FF-0017,Conference Table,2024-04-30,Units of Production,5,31939.41
Silverline Insurance,INV-454508,PO-12757,Scheduled,2026-05-15,EQ-0018,HVAC Unit,2026-04-15,MACRS,3,5481.48
Cornerstone IT,INV-170674,PO-14117,Overdue,2025-08-22,IT-0019,Laptop,2025-08-07,Straight-Line,20,9762.37
Redwood Analytics,INV-698782,PO-85525,Partial,2021-10-01,EQ-0020,Compressor,2021-09-01,Double Declining Balance,15,5576.77
Keystone Legal Services,INV-544154,PO-63883,Partial,2024-06-05,VH-0021,Truck,2024-04-21,Straight-Line,3,19864.21
Silverline Insurance,INV-214576,PO-42591,Pending,2026-05-10,IT-0022,Printer,2026-04-30,Double Declining Balance,20,15213.77
Granite Construction,INV-179046,PO-68082,Scheduled,2024-01-27,EQ-0023,Compressor,2024-01-12,Straight-Line,7,10651.78
TechVault Solutions,INV-324130,PO-62565,Paid,2026-05-05,IT-0024,Server,2026-04-25,Double Declining Balance,5,13149.33
Nexus Software,INV-865990,PO-82845,Partial,2019-02-23,FF-0025,Conference Table,2019-01-09,Double Declining Balance,7,17208.19
Meridian Consulting,INV-428838,PO-17492,Paid,2022-05-15,IT-0026,Router,2022-04-30,MACRS,20,8435.83
Pacific Fleet Services,INV-723939,PO-18907,Pending,2024-09-05,IT-0027,Router,2024-08-21,Units of Production,3,17418.33
Greenfield Energy,INV-789305,PO-86503,Scheduled,2025-06-06,BL-0028,Parking Lot,2025-05-22,MACRS,3,10146.21
Horizon Telecom,INV-776856,PO-49321,Partial,2021-12-19,FF-0029,Chair,2021-12-04,Sum-of-Years-Digits,7,7259.25
Bridgeport Packaging,INV-378082,PO-27361,Overdue,2019-11-04,EQ-0030,Generator,2019-10-25,Straight-Line,3,11594.04
